track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
5Zkvb4Wz9HJtHjWnxXQDlX,3003,2662,3143,2532,138042,54,0.545,0.0857,0.488,0.0,0.162,-8.847,0.0597,170.461,4,0
45kgqMRkC29qjBlzeaJcad,6673,5773,3142,2529,252021,72,0.613,0.211,0.61,0.000361,0.152,-8.633,0.246,160.004,4,0
1xqRKo0SDFDO5Jy8yEVD0X,5654,4803,902,2374,191208,83,0.69,0.0975,0.514,0.497,0.346,-11.81,0.328,72.791,4,0
7eX3um6NpOQKWJMGCi97XD,5705,4893,2195,2523,192804,78,0.779,0.00471,0.705,0.0,0.0971,-5.891,0.163,140.005,4,0
59fFsGRwFiuhxKDPc1k6xW,5130,4346,4039,2490,135430,83,0.829,0.00734,0.343,0.0,0.179,-4.937,0.102,78.035,4,0
6rLi6PyWXu1rPlShuIZpj6,8094,6978,1686,2459,168906,80,0.945,0.114,0.582,0.0,0.103,-8.357,0.0719,108.025,4,0
7o4gBbTM6UBLkOYPw9xMCz,4646,3870,874,2453,170232,82,0.928,0.0614,0.341,0.0,0.162,-10.196,0.103,129.966,4,0
2r6OAV3WsYtXuXjvJ1lIDi,3035,5400,2954,2362,190534,87,0.905,0.0187,0.647,0.0,0.282,-5.065,0.107,130.97,4,0
43BlKpJcSrC9AsJ3F1DKg9,6630,6376,2196,2469,172185,80,0.877,0.0439,0.677,0.0,0.0986,-4.969,0.356,144.941,4,0
2bo0HCDcZj8BYjoht9zYgk,7556,6477,2578,2498,136939,78,0.909,0.044,0.617,0.0,0.233,-7.736,0.401,136.924,4,0
5SWnsxjhdcEDc7LJjq9UHk,5945,5124,15,2410,195906,83,0.819,0.00748,0.626,0.101,0.167,-4.574,0.202,143.01,4,0
26UxwWl9xCb83OynXELJcL,4462,3715,904,2485,181714,81,0.781,0.0299,0.726,0.0,0.093,-4.213,0.0836,139.988,4,0
6aKDdFwPJLgHT4aNktrQmb,7043,5905,4071,2466,170266,75,0.891,0.00225,0.552,2.18e-06,0.162,-6.877,0.223,135.976,4,0
6bCWyr3C3ngZdwizTYWQTG,5119,4332,2197,2485,175729,77,0.679,0.339,0.794,1.65e-05,0.113,-3.985,0.296,150.067,4,0
17vGPZ5EsdvtgAOCD4FLWI,227,176,2954,2519,171891,82,0.751,0.152,0.744,0.000568,0.252,-6.859,0.177,148.014,4,0
4DuUwzP4ALMqpquHU0ltAB,7730,6601,1686,2423,156497,82,0.794,0.11,0.756,0.0,0.247,-7.16,0.136,123.066,4,0
33HO2V42Tc6xE0SbCg6vBj,5643,4773,2597,2430,223944,77,0.901,0.0761,0.673,0.0,0.143,-6.545,0.314,119.97,4,0
6eVxH9Kyanzrw636zJRPcw,2156,1887,2195,2454,210698,79,0.887,0.000407,0.606,0.0,0.151,-6.572,0.324,139.995,4,0
15bnyEOUVRkwWlxR4F7xzF,2395,6377,2196,2495,186283,78,0.738,0.213,0.885,0.0,0.098,-4.159,0.126,100.508,3,0
6jzW19SQaLj1kLArvipGQZ,2854,5532,14,2438,171837,74,0.897,0.0679,0.767,0.000364,0.129,-4.544,0.0959,134.913,4,0
7AqcPbvxOIIN6NMXlG30Sw,3960,3173,1903,2506,128707,73,0.615,0.218,0.792,0.0,0.0718,-7.218,0.417,122.546,5,0
5vGLcdRuSbUhD8ScwsGSdA,8252,7097,613,2380,123262,91,0.719,0.2,0.648,0.0,0.127,-7.6,0.125,140.201,4,0
1A8990rtwHQ417l3yADe5t,2600,2228,2950,2500,116255,78,0.753,0.659,0.659,0.0,0.098,-9.671,0.416,146.022,4,0
2xlOJSbScxrHHOmlNmILpD,4809,5397,2952,2500,171780,73,0.728,0.0391,0.623,0.0,0.214,-8.066,0.305,145.973,4,0
3PXi72ZtSqx1PZc40KS0Qj,4482,668,1,2430,125853,77,0.844,0.169,0.72,0.0,0.0797,-7.418,0.3,99.917,4,0
15C4TnrrVdym7UykxQIOTZ,7527,6456,349,2489,211609,78,0.878,0.00984,0.475,0.0,0.167,-8.42,0.324,131.988,4,0
1XXimziG1uhM0eDNCZCrUl,7792,6658,649,2500,156944,90,0.868,0.0012,0.795,0.0193,0.0461,-6.044,0.269,166.0,4,0
2etHQJxIbV0soyPhelVs9Y,787,781,3264,2479,155883,89,0.84,0.00302,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4,0
1qPJqsojWPApzEuSVoFawJ,5909,5060,2946,2487,192000,73,0.574,0.184,0.623,0.0,0.103,-5.096,0.191,79.993,4,0
7E2C5rBLpCKwQlhJPVFBRS,8442,7240,4084,2418,226220,81,0.575,0.317,0.609,0.0,0.105,-4.88,0.121,83.004,4,0
43CIWpJaJHRcI4mUSjqgc2,656,568,1906,2485,157355,84,0.697,0.00215,0.674,0.0,0.138,-6.326,0.0533,81.535,4,0
5CFJRZRq6sdKKtRwNPWbYv,6248,3685,2022,2461,174960,81,0.619,0.43,0.589,0.000392,0.378,-6.531,0.124,143.896,4,0
6MHwbVY6LkFvmEnUla0Hzj,7626,6528,4074,2510,123870,72,0.633,0.0524,0.534,0.0,0.189,-8.605,0.229,155.111,4,0
5hChuUMe5iHfjkXgzj1D4b,7628,6533,2591,2503,199706,74,0.641,0.381,0.598,0.0,0.0921,-5.7,0.324,131.459,5,0
1rICTKr67UUnoDVvOj4A8c,7534,6463,4042,2524,185991,71,0.72,0.171,0.597,0.0,0.17,-6.501,0.217,150.138,4,0
3Kwdm0iLyEiRB8InsZoo6n,7069,6355,1077,2517,227705,75,0.773,0.24,0.281,0.0,0.112,-9.781,0.11,102.019,4,0
